"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 22","33,761.11","32,755.71","33,765.02","32,388.30","-","2.78%"
"Jul 22","32,846.45","30,740.97","32,906.21","30,145.31","-","6.71%"
"Jun 22","30,779.71","33,156.31","33,270.83","29,654.59","-","-6.71%"
"May 22","32,991.97","33,045.95","34,113.40","30,635.76","3.01B","0.04%"
"Apr 22","32,977.21","34,740.89","35,492.22","32,913.15","7.22B","-4.91%"
"Mar 22","34,678.35","33,813.48","35,372.26","32,578.73","9.22B","2.32%"
"Feb 22","33,892.60","35,151.47","35,824.28","32,272.64","7.36B","-3.53%"
"Jan 22","35,131.86","36,321.59","36,952.65","33,150.33","8.90B","-3.32%"
"Dec 21","36,338.30","34,678.94","36,679.44","34,006.98","8.41B","5.38%"
"Nov 21","34,483.72","35,833.65","36,565.73","34,424.44","7.23B","-3.73%"
"Oct 21","35,819.56","33,930.70","35,892.92","33,785.54","6.77B","5.84%"
"Sep 21","33,843.92","35,387.55","35,475.40","33,613.03","6.66B","-4.29%"
"Aug 21","35,360.73","34,968.56","35,631.19","34,690.25","5.66B","1.22%"
"Jul 21","34,935.47","34,507.32","35,171.52","33,741.76","6.71B","1.25%"
"Jun 21","34,502.51","34,584.19","34,849.32","33,271.93","6.83B","-0.08%"
"May 21","34,529.45","33,904.89","35,091.56","33,473.80","6.61B","1.93%"
"Apr 21","33,874.85","33,054.58","34,256.75","32,985.35","6.89B","2.71%"
"Mar 21","32,981.55","31,065.90","33,259.00","30,547.53","9.79B","6.62%"
"Feb 21","30,932.37","30,054.73","32,009.64","30,014.97","6.77B","3.17%"
"Jan 21","29,982.62","30,627.47","31,272.22","29,856.30","8.22B","-2.04%"
"Dec 20","30,606.48","29,797.50","30,637.47","29,599.29","8.18B","3.27%"
"Nov 20","29,638.64","26,691.28","30,116.51","26,691.28","7.92B","11.84%"
"Oct 20","26,501.60","27,940.63","28,957.90","26,143.77","8.51B","-4.61%"
"Sep 20","27,781.70","28,439.61","29,199.35","26,537.01","10.05B","-2.28%"
"Aug 20","28,430.05","26,542.32","28,733.35","26,534.38","7.51B","7.57%"
"Jul 20","26,428.32","25,879.38","27,071.33","25,523.51","8.27B","2.38%"
"Jun 20","25,812.88","25,342.99","27,580.21","24,843.18","9.82B","1.69%"
"May 20","25,383.11","24,120.78","25,758.79","22,789.62","8.01B","4.26%"
"Apr 20","24,345.72","21,227.38","24,764.77","20,735.02","9.88B","11.08%"
"Mar 20","21,917.16","25,590.51","27,102.34","18,213.65","15.60B","-13.74%"
"Feb 20","25,409.36","28,319.65","29,568.57","24,681.01","7.05B","-10.07%"
"Jan 20","28,256.03","28,638.97","29,373.62","28,169.53","6.27B","-0.99%"
"Dec 19","28,538.44","28,109.74","28,701.66","27,325.13","5.14B","1.74%"
"Nov 19","28,051.41","27,142.95","28,174.97","27,142.95","4.98B","3.72%"
"Oct 19","27,046.23","26,962.54","27,204.36","25,743.46","5.72B","0.48%"
"Sep 19","26,916.83","26,198.26","27,306.73","25,978.22","5.09B","1.95%"
"Aug 19","26,403.28","26,879.86","27,175.59","25,339.60","6.24B","-1.72%"
"Jul 19","26,864.27","26,805.86","27,398.68","26,616.21","5.27B","0.99%"
"Jun 19","26,599.96","24,830.16","26,907.37","24,680.57","5.54B","7.19%"
"May 19","24,815.04","26,639.06","26,689.39","24,809.51","6.36B","-6.69%"
"Apr 19","26,592.91","26,075.10","26,695.96","26,062.59","5.85B","2.56%"
"Mar 19","25,928.68","26,019.67","26,155.98","25,208.00","6.63B","0.05%"
"Feb 19","25,916.00","25,025.31","26,241.42","24,883.04","5.43B","3.67%"
"Jan 19","24,999.67","23,058.61","25,109.62","22,638.41","7.19B","7.17%"
"Dec 18","23,327.46","25,779.57","25,980.21","21,712.53","8.10B","-8.66%"
"Nov 18","25,538.46","25,142.08","26,277.82","24,268.74","7.23B","1.68%"
"Oct 18","25,115.76","26,598.36","26,951.81","24,122.23","8.37B","-5.07%"
"Sep 18","26,458.31","25,916.07","26,769.16","25,754.32","5.26B","1.90%"
"Aug 18","25,964.82","25,461.63","26,167.94","24,965.77","5.64B","2.16%"
"Jul 18","25,415.19","24,161.53","25,587.24","24,077.56","5.41B","4.71%"
"Jun 18","24,271.41","24,542.09","25,402.83","23,997.21","7.41B","-0.59%"
"May 18","24,415.84","24,117.29","25,086.49","23,531.31","7.28B","1.05%"
"Apr 18","24,163.15","24,076.60","24,858.97","23,344.52","8.06B","0.25%"
"Mar 18","24,103.11","25,024.04","25,449.15","23,509.06","8.87B","-3.70%"
"Feb 18","25,029.20","26,083.04","26,306.70","23,360.29","9.45B","-4.28%"
"Jan 18","26,149.39","24,809.35","26,616.71","24,741.70","9.12B","5.79%"
"Dec 17","24,719.22","24,305.40","24,876.07","23,921.90","6.59B","1.84%"
"Nov 17","24,272.35","23,442.90","24,327.82","23,242.75","7.34B","3.83%"
"Oct 17","23,377.24","22,423.47","23,485.25","22,416.00","7.30B","4.34%"
"Sep 17","22,405.09","21,981.77","22,419.51","21,709.63","6.34B","2.08%"
"Aug 17","21,948.10","21,961.42","22,179.11","21,600.34","6.15B","0.26%"
"Jul 17","21,891.12","21,392.30","21,929.80","21,279.30","5.57B","2.54%"
"Jun 17","21,349.63","21,030.55","21,535.03","20,994.22","7.21B","1.62%"
"May 17","21,008.65","20,962.73","21,112.32","20,553.45","6.61B","0.33%"
"Apr 17","20,940.51","20,665.17","21,070.90","20,379.55","5.39B","1.34%"
"Mar 17","20,663.22","20,957.29","21,169.11","20,412.80","6.94B","-0.72%"
"Feb 17","20,812.24","19,923.81","20,851.33","19,831.09","6.19B","4.77%"
"Jan 17","19,864.09","19,872.86","20,125.58","19,677.94","6.48B","0.51%"